[Found existing metadata in store. Skipping this part.]
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  90.00000085269986 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
Dataset: cifar10 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 2.2599 | NatPrec1 18.750 | NatPrec5 60.417 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:38,  2.77it/s]
Train Epoch:0 | Loss 2.2599 | NatPrec1 18.750 | NatPrec5 60.417 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:12,  3.05it/s]
Train Epoch:0 | Loss 2.2475 | NatPrec1 19.471 | NatPrec5 62.260 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:15<04:12,  3.05it/s]
Train Epoch:0 | Loss 2.2475 | NatPrec1 19.471 | NatPrec5 62.260 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:15<04:12,  3.05it/s]
Train Epoch:0 | Loss 2.2475 | NatPrec1 19.471 | NatPrec5 62.260 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:55,  3.26it/s]
Train Epoch:0 | Loss 2.2368 | NatPrec1 20.424 | NatPrec5 62.835 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:55,  3.26it/s]
Train Epoch:0 | Loss 2.2368 | NatPrec1 20.424 | NatPrec5 62.835 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:55,  3.26it/s]
Train Epoch:0 | Loss 2.2368 | NatPrec1 20.424 | NatPrec5 62.835 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 2.2282 | NatPrec1 21.354 | NatPrec5 64.167 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 2.2282 | NatPrec1 21.354 | NatPrec5 64.167 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 2.2282 | NatPrec1 21.354 | NatPrec5 64.167 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:33,  3.59it/s]
